SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
6.6,0.63,29.2,24,27,4.54,22.25,2.229,0.268,1.961,1.26,29.3,77.85
9.8,0.48,25.7,26,30,6.11,23.57,2.135,0.211,1.924,1.92,28.58,79.02
4.7,0.44,34.1,29,17,2.28,15.09,2.067,0.156,1.911,2.06,28.25,77.93
3.3,0.38,30.5,21,16,2.51,13.66,0,0,0,2.2,28,78.13
4.6,0.37,30.1,24,17,2.67,14.5,2.264,0.179,2.085,1.83,27.89,80.46
6.5,0.5,30.4,24,23,3.86,19.42,2.132,0.18,1.953,1.78,28.22,76.44
4.3,0.42,34.9,34,18,2.67,15.32,2.142,0.153,1.989,2.11,27.64,79.1
4.6,0.25,36.1,29,12,1.61,10.1,2.064,0.039,2.027,2.25,28.37,82.57
1.8,0.29,30.6,18,8,1.93,5.68,0,0,0,1.17,27.63,78.08
4.3,0.41,32.1,29,19,2.78,16.08,2.123,0.167,1.955,1.84,27.96,78.45
4.7,0.54,31.5,28,21,3.2,17.56,2.187,0.225,1.962,1.68,28.57,77.15
4.3,0.37,33.4,19,16,3.02,13.29,2.008,0.14,1.868,2.4,28.55,78.5
3.7,0.47,30.1,16,17,2.83,13.98,2.095,0.182,1.913,1.65,28.74,79.04
3,0.21,33.9,18,9,1.84,7.19,2.038,0.048,1.993,2.48,28.01,82.3
3.3,0.34,32.8,17,18,3.7,14.36,1.951,0.144,1.807,1.82,28.45,77.16
2.8,0.31,32.1,14,13,2.4,10.52,0,0,0,2.49,28.59,76.05
4.3,0.3,31.9,16,13,2.34,11.06,2.224,0.163,2.061,1.69,27.97,82.49
3.7,0.38,33,20,16,2.67,13.15,2.036,0.127,1.909,2.21,28.32,78.93
4,0.34,32.1,19,15,2.7,12.73,2.008,0.123,1.885,2.31,28.3,78.87
5.2,0.51,28.8,16,21,4.56,16.92,2.116,0.198,1.918,1.32,29.11,79.54
4.8,0.4,28,16,20,3.94,15.68,2.042,0.136,1.906,1.85,28.31,78.2
7.9,0.4,26.1,16,23,5.42,17.23,2.056,0.174,1.882,2.12,28.49,82.07
1.3,0.24,33.6,13,5,1.56,3.77,0,0,0,1.39,27.59,79.03
3.5,0.42,28.9,15,15,2.49,12.55,2.078,0.172,1.905,1.85,29.54,77.27
9.2,0.36,25.7,11,20,4.32,16.02,2.014,0.159,1.855,2.15,29.47,78.86
1.4,0.21,29.6,10,5,1.77,3.01,0,0,0,1.29,28.42,77.8
3.8,0.3,29.6,16,14,2.23,11.92,1.968,0.116,1.853,2,28.99,77.85
5.5,0.47,26.5,13,19,3.55,15.83,2.087,0.198,1.889,1.08,29.93,77.99
5.2,0.37,26.6,15,18,3.3,14.37,1.944,0.127,1.817,1.86,29.16,76.51
4.3,0.33,31.4,17,15,2.55,12.63,1.949,0.135,1.813,2.16,29.62,76.4
3.7,0.31,27.8,17,18,3.56,14.28,1.966,0.175,1.79,1.9,29.33,75.47
3.7,0.35,30.6,16,15,2.18,12.87,2.008,0.125,1.884,2.3,29.25,77.42
3.2,0.29,29.1,10,13,2.44,10.49,0,0,0,2.49,29.28,75.03
4.7,0.26,29,17,13,3.05,10.18,2.174,0.143,2.031,1.3,28.88,80.43
2.8,0.15,33.2,17,7,1.3,5.94,1.989,0.026,1.97,2.53,28.61,78.37
2.9,0.22,21.3,8,12,2.75,8.79,0,0,0,2.56,30.34,69.51
3.8,0.36,20,11,15,3.03,11.54,2.007,0.157,1.85,1.79,30.52,72.51
1.7,0.17,25.7,9,5,1.83,3.34,0,0,0,1.5,29.22,73.65
4.3,0.23,22.3,13,13,2.39,10.13,1.864,0.093,1.771,2.33,30.52,73.26
3.3,0.25,20.7,15,15,3.68,11.56,1.858,0.133,1.725,2.07,30.3,71.61
5.2,0.27,17.9,12,16,3.93,12.11,1.81,0.098,1.712,1.8,30.26,72.92
7.8,0.23,18.9,7,18,5.3,13.02,1.948,0.139,1.808,2.35,30.31,76.29
3.9,0.23,21.6,12,13,2.52,10.18,1.883,0.099,1.783,2.21,29.96,73.91
7.1,0.23,19.3,14,14,4.36,9.94,2.166,0.191,1.975,1.46,29.89,76.6
3.5,0.24,21.1,12,12,2.23,10.06,1.931,0.102,1.829,2.29,30.26,73.46
2.8,0.11,22.2,13,8,1.62,5.93,1.911,0.026,1.891,2.66,29.39,76.42
5.4,0.36,17.7,9,17,3.86,13.16,1.991,0.158,1.834,1.16,30.45,74.8
4.6,0.27,16.9,9,15,4.63,10.19,1.898,0.124,1.774,2.21,29.95,75.53
8.9,0.25,13.8,6,18,6.15,11.85,1.936,0.149,1.787,2.24,29.91,78.33
3.1,0.28,14.4,11,16,5.15,11.18,1.863,0.143,1.721,1.99,30.09,72.33
3.9,0.25,17.2,9,14,3.56,10.34,1.908,0.103,1.804,2.17,29.74,74.55
3.9,0.29,16.8,9,14,3.81,9.8,1.942,0.115,1.827,2.36,29.89,74.43
5.4,0.4,14,6,18,5.31,12.55,1.995,0.179,1.816,1.12,30.18,76.65
1.4,0.17,21.1,8,6,2.29,3.39,0,0,0,1.38,28.68,76
2.8,0.22,17.7,6,11,3.12,8.24,0,0,0,2.79,29.83,73.08
6.5,0.23,15.6,8,12,3.96,8.46,2.122,0.155,1.967,1.46,29.74,76.73
3.5,0.39,15.6,8,15,4.06,11.12,2.016,0.169,1.847,1.86,30.25,73.24
5.1,0.29,13.8,8,17,5.13,11.82,1.814,0.104,1.711,1.85,29.73,75.21
2.3,0.08,19.3,8,6,1.58,4.73,1.911,0.018,1.899,2.52,29.47,77.63
3.3,0.18,31.8,17,8,1.35,7.07,2.023,0.023,2.002,2.36,28.48,75.75
7.2,0.32,24.5,16,15,3.32,12.04,2.288,0.211,2.077,1.34,28.83,74.75
5.3,0.36,25.1,14,18,3.22,14.37,1.902,0.112,1.79,1.71,28.95,72
4.4,0.33,29.5,19,14,2.73,10.98,1.974,0.129,1.845,2.12,29.04,72.51
5.7,0.48,24.3,14,20,3.53,15.99,2.074,0.201,1.872,1.07,29.45,72.93
3.7,0.37,25.5,19,16,3.49,12.83,1.955,0.158,1.797,1.9,29.17,69.75
9.3,0.34,23.2,15,22,4.42,17.73,2.015,0.152,1.863,2.06,29.01,75.36
1.8,0.27,30.2,17,7,1.76,5.24,0,0,0,1.28,28.29,72.3
3.9,0.34,29.8,20,14,1.92,12.37,2.055,0.132,1.924,2.24,28.91,72.5
3.4,0.33,24.8,14,14,2.87,11.15,0,0,0,2.44,28.81,70.85
4.6,0.35,28.3,19,17,2.85,13.8,2.027,0.131,1.895,1.99,28.76,72.34
4.4,0.48,24.8,17,18,3.37,14.96,2.117,0.197,1.92,1.75,29.51,69.98
1.8,0.33,31.2,22,8,1.35,6.99,0,0,0,1.23,26.48,72.5
4.6,0.58,24.2,25,22,4.11,17.76,2.2,0.228,1.973,1.7,27.57,71.25
4.4,0.26,31.7,24,12,1.94,9.69,2.166,0.055,2.111,2.19,26.89,76.7
7.8,0.4,25,24,19,4.82,14.57,2.365,0.238,2.127,1.33,27.09,74.29
4.3,0.44,28.4,26,20,3.65,16.74,2.123,0.161,1.962,1.93,26.86,72.77
3.5,0.41,25.4,21,16,3.35,13.05,0,0,0,2.33,26.72,72.77
4.2,0.46,29.2,28,19,2.89,15.72,2.139,0.161,1.979,2.12,26.88,74
3.9,0.45,27.5,25,19,4.23,14.56,2.025,0.18,1.845,1.87,27.14,70.75
4,0.44,26.2,27,18,3.43,14.23,2.105,0.205,1.9,1.98,27.12,73.36
5.9,0.46,24.8,21,22,4.15,17.87,1.991,0.159,1.832,1.64,26.97,73.3
6.1,0.58,24.7,23,25,4.8,20.29,2.161,0.242,1.919,1.09,27.39,74.24
4.9,0.9,25.2,38,40,9.04,31.24,2.48,0.41,2.07,1.13,21.75,73.03
3.4,0.52,26,34,24,4.22,20.12,0,0,0,2.2,20.57,73.67
4,0.58,27.3,39,31,6.48,24.82,2.32,0.27,2.05,1.96,20.82,73.4
4.6,0.73,25.8,32,34,6.73,27.59,2.23,0.28,1.95,1.57,21.33,72.14
3.8,0.6,30.3,43,27,4.2,22.95,2.31,0.24,2.07,2.07,20.73,74.05
9.7,0.55,25.5,43,30,6.52,23.72,2.63,0.42,2.21,1.35,21.19,75.83
3.8,0.62,31.3,41,26,4.31,21.95,2.22,0.25,1.98,2.07,21.15,72.78
6.4,0.66,21.1,41,41,9.56,31.23,2.27,0.28,1.99,1.82,21.7,74.81
5.8,0.44,32.8,37,23,4.01,19.46,2.39,0.13,2.26,2.23,21.7,77.44
3.3,0.54,26.2,36,27,5.45,21.04,2.14,0.21,1.93,2,21.83,66.01
1.7,0.42,30.5,32,12,1.57,10.26,0,0,0,1.19,21.21,74.42
4.7,0.7,25.3,39,30,5.53,24.64,2.34,0.3,2.04,1.72,21.59,73.45
3.2,0.5,25.6,34,22,3.34,18.34,0,0,0,2.64,18.33,70.04
3.6,0.53,26.7,39,27,5,21.99,2.224,0.211,2.013,2.5,18.6,69.19
5.6,0.55,24.8,43,31,6.74,23.88,2.414,0.33,2.084,1.59,19.2,70.82
5.6,0.52,28.7,36,27,4.54,22.63,2.418,0.201,2.217,2.61,19.86,73.62
4.7,0.63,23.5,41,29,5.26,24.17,2.262,0.255,2.008,2.09,19.31,69.26
1.8,0.45,28.5,37,12,1.83,10.47,0,0,0,1.15,19.14,71.9
4.8,0.64,21.2,42,36,7.2,28.5,2.215,0.241,1.974,2.02,19.65,69.69
4,0.86,23.6,40,37,8.53,28.76,2.454,0.379,2.075,1.25,19.56,69.21
3.5,0.68,23.9,33,32,6.29,25.22,2.252,0.247,2.005,1.81,19.26,67.62
3.4,0.58,29.2,43,24,3.56,20.45,2.156,0.196,1.96,2.61,19,68.21
2.8,0.48,27.3,37,21,3.59,17.74,2.066,0.151,1.914,2.51,18.91,66.35
3.3,0.55,28.5,44,24,3.3,20.85,2.189,0.185,2.004,2.53,18.64,69.3
3.3,0.64,23.4,39,27,4.97,22.46,2.225,0.237,1.987,2.54,18.8,76.54
4.4,0.74,15.1,40,44,12.15,31.94,2.286,0.309,1.977,1.95,19.26,79.65
6.2,0.61,21.5,34,30,4.67,24.93,2.379,0.193,2.186,2.7,19.81,81.18
3.6,0.81,18,32,37,9.07,28.06,2.348,0.307,2.042,1.76,18.87,76.78
1.3,0.44,22,31,12,1.97,10.14,0,0,0,1.09,18.96,80.15
3.1,0.58,19.5,35,26,5.35,20.3,0,0,0,2.45,18.32,78.98
3.7,0.99,17.5,45,42,12.93,29.21,2.575,0.482,2.093,1.24,19.2,77.78
2.7,0.54,20.1,32,25,5.65,19.74,2.125,0.189,1.937,2.36,18.2,79.98
4.3,0.6,17.6,38,34,8.51,25.39,2.307,0.275,2.031,2.48,18.43,78.39
5,0.73,18.3,37,34,7.19,26.38,2.344,0.311,2.033,2.03,18.96,79.51
3.3,0.61,21.9,41,27,5.13,22.24,2.246,0.221,2.025,2.44,18.39,79.2
10.9,0.6,17.8,41,38,11.65,26.63,2.459,0.37,2.09,1.55,18.95,80.12
4.4,0.78,24.6,34,36,7.33,28.81,2.332,0.296,2.036,1.67,22.16,69.99
9.5,0.61,25,43,35,7.16,27.69,2.534,0.425,2.11,1.53,21.88,73.89
6.7,0.55,29.1,41,28,4.03,24.45,2.373,0.176,2.197,2.39,22.58,75.8
4,0.62,29.6,38,26,3.76,22.57,2.237,0.243,1.994,2.44,21.81,71.01
4.7,0.6,21.6,40,33,7.05,26.19,2.327,0.285,2.042,2.33,21.51,71.88
5.7,0.72,24.2,38,35,6.89,28.48,2.362,0.315,2.047,1.94,22.24,71.65
3.6,0.56,26.1,34,26,4.78,20.97,2.162,0.203,1.959,2.29,21.32,75.16
4.4,0.96,21.4,44,41,9.97,30.87,2.559,0.46,2.099,1.14,22.35,71.49
5.1,0.71,19.7,44,44,9.93,33.6,2.249,0.298,1.952,1.86,22.46,72.51
4,0.6,28.2,39,27,4.28,22.89,2.251,0.222,2.028,2.35,21.36,76.32
3.9,0.58,24,37,27,4.91,21.94,0,0,0,2.29,21.37,73.87
1.8,0.46,28.8,35,14,1.76,11.74,0,0,0,1.01,22.32,73.11
9.2,0.51,34.1,36,26,4.23,21.53,2.504,0.34,2.164,0,25.68,75.21
5.7,0.44,40.7,40,18,1.89,16.58,2.319,0.119,2.2,2.01,25.63,77.39
5.3,0.63,35.3,31,26,3.14,23.24,2.32,0.282,2.038,1.66,26.24,71.75
6.4,0.58,28.3,36,35,5.6,29.33,2.207,0.257,1.95,1.75,26.21,73.47
2.1,0.39,36.8,32,11,1.81,8.79,0,0,0,1.02,26.45,72.45
3.7,0.49,31.9,27,20,2.89,16.99,0,0,0,2.01,25.54,72.56
5,0.86,29,37,34,5.77,27.86,2.471,0.407,2.064,0.85,26.7,72.48
4.9,0.65,34.1,28,29,4.1,25.35,2.239,0.246,1.993,1.44,26.07,71.18
4,0.54,39.9,32,20,2.02,17.81,2.149,0.191,1.958,2.13,25.81,71.99
3.6,0.48,35.6,27,20,3,17.35,2.155,0.204,1.951,1.92,25.49,75.96
4,0.51,38.8,36,20,2.29,17.99,2.195,0.179,2.016,2.05,25.18,77.72
4.8,0.52,30.6,35,26,3.75,22.45,2.279,0.251,2.027,1.92,25.54,73.06
3.3,0.47,37.7,24,17,2.76,14.45,2.084,0.18,1.904,1.76,27.29,78.16
4.9,0.67,27,29,23,3.41,19.64,2.275,0.307,1.968,0.77,28.34,74.52
6.7,0.44,35,31,25,3.66,21.7,2.06,0.176,1.884,1.79,27.61,75.45
4,0.47,43.2,29,16,1.74,14.26,2.052,0.151,1.901,1.99,27.51,73.61
3.3,0.43,35.9,24,16,2.42,13.52,0,0,0,2.06,27.22,74.95
6.3,0.43,35.1,30,19,3,15.68,2.343,0.222,2.121,0,27.17,77.27
4.8,0.51,39.7,21,22,3.23,18.65,2.05,0.174,1.876,1.37,27.58,73.19
3.8,0.47,41.7,31,19,2.28,16.44,2.091,0.149,1.942,1.93,27.03,78.65
3.9,0.33,46.7,30,11,1.27,9.39,2.172,0.048,2.125,2.03,27.19,77.69
1.9,0.35,38.7,27,8,1.33,6.79,0,0,0,1.12,25.95,74.26
4.4,0.46,36.3,31,20,2.61,17.88,2.162,0.176,1.985,1.78,27.18,75.1
4.7,0.58,37.6,28,21,2.48,18.17,2.271,0.231,2.04,1.68,27.85,73.98
4,0.38,42.6,19,13,1.75,11.22,1.992,0.132,1.86,2.82,28.89,72.2
3.9,0.49,37.7,18,16,2.38,13.19,2.163,0.194,1.97,1.93,29.06,72.04
3.4,0.27,42.7,21,9,1.3,7.34,2.143,0.053,2.092,2.46,28.61,78.25
3.1,0.4,37.2,16,15,2.38,12.62,2.01,0.161,1.849,2.02,28.96,75.46
3.1,0.36,36.2,14,13,2.17,11.2,0,0,0,2.54,28.54,73.73
6.3,0.35,36,26,17,3.72,12.95,2.155,0.203,1.952,0,28.44,76.25
3.6,0.37,41.8,19,14,2.22,12.13,1.995,0.115,1.879,2.38,28.48,76.42
3.8,0.37,38.5,19,16,2.38,13.36,2.085,0.129,1.956,2.1,28.54,72.72
3.7,0.58,9.4,19,18,3.45,15.04,2.256,0.328,1.928,0.88,29.31,73.73
4.6,0.41,37.9,14,18,3.38,14.45,1.965,0.132,1.833,1.66,28.82,72.37
7.1,0.38,35.9,22,19,3.13,16.35,1.98,0.153,1.827,2.24,28.77,74.85
3.4,0.44,21.7,11,16,3.43,12.45,2.1,0.197,1.903,1.8,29.09,76.98
1.4,0.19,25.2,11,5,1.32,4.04,0,0,0,1.45,28.17,76.85
3.4,0.29,23,11,16,3.43,12.23,2.025,0.129,1.897,2.04,28.49,77.41
3.4,0.53,3.1,12,21,5.91,15.19,2.18,0.308,1.872,0.97,29.19,77.71
4.8,0.38,19.9,9,19,4.87,14.57,1.936,0.151,1.786,1.72,28.74,77.24
3.6,0.35,22.9,11,15,3.43,11.88,1.947,0.151,1.797,2.34,28.84,76.82
3.1,0.31,20.5,8,17,4.22,12.4,1.949,0.18,1.768,1.85,28.86,79.65
3.4,0.33,22,14,15,3.53,11.72,1.961,0.138,1.823,2.47,28.51,81.01
2.6,0.26,21.9,7,13,3.09,10.07,0,0,0,2.3,28.62,78.61
3.2,0.2,27.5,13,9,1.57,7.04,2.053,0.066,1.987,2.33,28.67,82.11
2.9,0.25,24.1,9,11,2.64,8.54,0,0,0,2.72,29.23,76.66
3.6,0.39,23.2,11,14,3.05,10.95,2.034,0.163,1.871,2.01,29.74,73.4
1.5,0.19,27.5,11,5,1.44,3.98,0,0,0,1.39,28.97,73.34
3.5,0.27,25.5,11,11,1.87,9.08,1.928,0.104,1.824,2.41,29.57,74.27
3.6,0.29,22.1,7,14,3.45,10.66,1.912,0.14,1.772,2.06,29.7,77.05
4.4,0.3,22.3,9,15,3.48,11.81,1.889,0.095,1.794,1.95,29.35,75.33
8.8,0.29,21.4,13,17,4.58,12.89,1.888,0.135,1.754,2.36,29.59,77.41
4,0.27,24.3,11,14,2.86,10.79,1.977,0.096,1.88,2.14,29.16,74.68
3.3,0.23,22.6,15,10,2.05,8,2.068,0.098,1.971,1.82,28.56,80.4
3.3,0.26,24.3,14,11,2.2,9.23,1.917,0.085,1.832,2.53,29.28,77.95
2.5,0.16,28.5,14,6,1.31,4.64,1.966,0.051,1.916,2.77,29.38,79.97
3.6,0.42,6.9,15,16,3.63,11.97,2.049,0.202,1.847,0.92,29.52,76.03
4.4,0.2,17.5,9,10,2.6,7.55,1.871,0.074,1.797,2.28,30.62,72.15
8.7,0.2,14.5,9,14,4.61,9.87,1.826,0.092,1.735,2.36,30.73,73.27
3.7,0.26,15.6,6,13,4.07,9.38,1.891,0.143,1.748,1.99,31.11,72.17
4.2,0.22,17.8,8,13,3.09,9.42,1.93,0.082,1.848,2.11,30.54,70.61
3.7,0.2,17.1,10,10,2.21,7.44,1.876,0.068,1.809,2.41,30.64,73.18
4.6,0.33,7,10,15,4.34,10.28,1.949,0.138,1.811,0.86,30.68,71.88
1.7,0.17,22.1,9,6,1.38,4.94,0,0,0,1.38,30.63,66.28
3.1,0.2,17.3,6,11,3.19,7.64,0,0,0,2.75,30.61,70.95
2.4,0.19,14.4,11,11,2.88,8.29,0,0,0,1.82,30.02,73.73
3.7,0.36,15.3,7,14,3.14,10.72,2.027,0.165,1.861,1.98,31.33,66.39
4.9,0.21,15.4,3,14,4.36,9.56,1.825,0.072,1.753,1.94,30.63,72.61
2.3,0.12,21.2,9,6,1.44,4.54,1.925,0.017,1.915,2.55,30.63,76.74
3.2,0.18,27.2,13,8,1.65,6.54,0,0,0,2.32,28.18,77.68
4,0.29,19.3,17,15,3.08,12.17,0,0,0,1.64,27.68,79.13
4.8,0.33,19.5,9,20,4.77,15.4,0,0,0,1.66,28.2,77.98
4,0.32,24.5,13,14,2.64,10.96,0,0,0,2.11,28.14,77.67
4.3,0.46,11,12,20,4.6,15.21,0,0,0,0.83,28.24,76.24
3,0.31,21.5,10,15,3.27,11.65,0,0,0,1.78,28.49,79.05
8.2,0.29,18.2,15,21,5.5,15.83,0,0,0,2.11,28.3,78.32
1.5,0.22,24.1,12,8,1.79,5.94,0,0,0,1.19,28.19,72.31
3.1,0.3,24.2,15,13,2.32,10.71,0,0,0,2.15,28.11,79.24
2.7,0.28,22.3,10,13,2.81,9.75,0,0,0,2.44,28.01,78.6
3.5,0.29,21.4,13,16,2.69,12.92,0,0,0,1.85,28.06,76.85
3.7,0.45,19.9,13,17,2.34,14.21,0,0,0,1.81,28.7,73.85
2.2,0.32,35,18,10,1.61,8.3,0,0,0,1.36,26.51,64.31
5.4,0.51,28.2,23,21,3.52,17.93,0,0,0,1.95,26.42,65.92
5.1,0.33,35.8,24,15,2.3,12.35,0,0,0,2.51,26.12,70.53
5.3,0.39,29.4,26,19,2.72,16.33,0,0,0,1.89,25.48,73.42
4.9,0.41,28,22,21,3.42,18.04,0,0,0,2.04,25.65,69.42
3.8,0.38,31.7,20,16,2.56,13.86,0,0,0,2.74,25.46,71.05
3.8,0.39,32.5,25,17,2.42,14.88,0,0,0,2.68,25.66,71.62
3.3,0.4,31,20,19,3.04,15.78,0,0,0,2.3,26.08,71.8
4.6,0.39,33.2,22,18,2.62,15.26,0,0,0,2.44,25.8,70.38
5.1,0.45,28.5,17,23,4.33,18.75,0,0,0,2,26.04,70.34
4.9,0.57,20.7,22,23,4.32,19.02,0,0,0,0.99,26.01,68.99
8.3,0.43,27.9,24,26,5.67,20.51,0,0,0,2.27,26.14,70.2
5,0.78,20.7,39,31,5.36,25.89,0,0,0,0.93,23.36,70.66
4,0.54,29,42,23,3.59,18.96,0,0,0,2.43,22.6,72.91
5.2,0.55,27.4,37,29,4.79,23.74,0,0,0,1.9,22.87,71.68
5.5,0.62,26.3,34,30,5.23,24.4,0,0,0,1.85,23.33,72.27
4.4,0.54,30.6,37,24,3.17,20.58,0,0,0,2.4,22.83,73.69
5.6,0.53,28.3,36,25,3.43,21.34,0,0,0,1.76,22.96,73.07
4.6,0.59,31.5,36,25,3.44,21.23,0,0,0,2.27,22.52,74.51
7.5,0.59,27.2,38,33,6.88,26.53,0,0,0,2.06,23.59,71.82
5.7,0.47,35.6,34,21,2.79,17.92,0,0,0,2.37,23.43,71.79
2.3,0.53,28.2,33,25,3.83,20.72,0,0,0,2.13,22.98,74.92
2.3,0.44,34.9,29,13,1.73,11.19,0,0,0,1.31,23.86,67.95
6.1,0.68,25.3,36,30,4.9,24.73,0,0,0,1.82,23.72,68.47
3.7,0.55,31.9,45,23,3.61,19.09,0,0,0,2.3,19.81,70.99
4.3,0.58,29.3,43,29,4.51,24.43,0,0,0,1.82,19.97,69.67
4.5,0.58,30.2,46,26,3.17,22.79,0,0,0,1.65,20.2,69.92
6.3,0.54,35.2,46,23,2.84,20.17,0,0,0,2.43,20.7,70.1
5.7,0.73,26.3,43,30,4.1,25.79,0,0,0,1.88,21.03,67.46
2.1,0.46,37.5,37,13,1.77,10.76,0,0,0,1.11,20.94,67.7
6.2,0.69,27.1,48,37,7.2,29.4,0,0,0,1.96,20.76,69.36
4.2,0.89,22.3,49,33,6.53,26.87,0,0,0,0.96,20.56,68.55
4.7,0.72,27.6,41,31,5.25,25.44,0,0,0,1.78,20.44,70.11
4.5,0.66,32.6,42,25,3.15,21.63,0,0,0,2.26,20.01,71.3
3.4,0.55,31.4,42,24,4.03,20.29,0,0,0,2.17,19.95,73.01
3.8,0.59,32.6,45,24,3.08,20.9,0,0,0,2.33,19.83,72.36
4.3,0.64,30.7,45,28,3.37,24.54,0,0,0,2.21,19.12,67.65
6.6,0.7,25.8,49,41,8.49,32.64,0,0,0,1.86,19.77,65.55
6.9,0.57,34.1,46,27,3.56,23.5,0,0,0,2.34,19.49,68.04
5.1,0.74,26.8,42,34,5.85,28.14,0,0,0,1.66,19.55,66.72
2.4,0.47,35.6,40,14,1.68,12.64,0,0,0,1.08,19.58,66.86
4.1,0.57,29.6,49,26,4.01,22.11,0,0,0,2.25,18.6,68.84
4.7,0.94,21.6,52,38,8.01,30.47,0,0,0,0.93,19.68,65.43
4,0.58,28.9,48,29,5.01,24.13,0,0,0,2.12,18.72,70.65
5.1,0.6,26.1,46,34,5.49,28.87,0,0,0,1.71,18.99,68.45
6.4,0.74,25.1,44,34,5.53,28.61,0,0,0,1.79,19.69,63.64
4.5,0.62,31.3,49,28,3.73,24.01,0,0,0,2.21,18.89,69.15
5.8,0.59,25.9,47,30,4.77,25.57,0,0,0,1.51,19.04,67.15
4,0.6,21.2,51,29,5.06,23.78,0,0,0,2.29,18.68,71.63
2,0.48,23.6,42,16,2.59,12.95,0,0,0,0.96,19.46,72.83
4.2,0.65,23.8,51,30,4.41,25.44,0,0,0,2.26,19.02,71.74
3.9,0.59,21.7,53,31,5.7,25,0,0,0,2.13,18.67,74.42
4,0.71,25,47,31,4.77,26.41,0,0,0,2.34,19.37,69
7,0.64,18.6,50,36,9.23,27,0,0,0,1.73,19.12,72.46
5.1,1.07,9.8,54,46,13.8,32.56,0,0,0,0.91,19.98,67.66
7,0.77,19.1,51,49,12.99,35.92,0,0,0,1.79,20,66.47
7.3,0.77,18,49,40,8.91,30.98,0,0,0,1.82,19.69,68.12
8,0.57,26.9,47,30,5.52,24.26,0,0,0,2.4,19.76,70.95
6.7,0.64,20.1,51,34,6.17,27.47,0,0,0,1.5,19.24,72.29
5,0.83,20.3,54,40,9.27,30.38,0,0,0,1.66,19.84,69.17
4.4,0.54,34.3,44,23,3.27,19.47,0,0,0,2.04,24.43,73.29
2.3,0.41,38.3,37,11,1.48,9.68,0,0,0,0.98,24.94,69.87
4.5,0.58,40.1,40,22,2.13,19.63,0,0,0,1.99,24.57,74.79
4.3,0.53,35.1,45,25,4.04,20.88,0,0,0,1.8,24.43,75.86
2.7,0.59,42.1,37,23,3.01,20.22,0,0,0,2,24.82,72.25
5.4,0.71,34.8,49,30,4.67,25.65,0,0,0,1.49,25.19,72.55
5.2,0.9,25.3,43,35,7.53,27.67,0,0,0,0.82,25.37,70.13
7.2,0.62,33.8,41,36,5.36,30.14,0,0,0,1.75,25.25,68.6
6.2,0.71,33.3,41,29,3.79,24.83,0,0,0,1.6,25.18,69.69
7.2,0.48,42.5,42,19,2.37,16.97,0,0,0,2.14,24.48,72.81
7.5,0.55,33.4,39,26,3.27,22.45,0,0,0,1.37,24.42,73.91
5.7,0.56,31.1,42,30,5.07,24.83,0,0,0,1.52,24.55,75.48
4.5,0.52,52.2,35,19,2.41,16.22,0,0,0,2,26.93,69.4
2.6,0.38,48.9,34,9,1.26,8.07,0,0,0,1.13,27.11,68.1
6.4,0.57,48.7,43,25,2.71,21.83,0,0,0,1.5,26.91,69.24
5.6,0.74,38.9,37,28,4.14,23.48,0,0,0,0.83,27.42,67.68
6.8,0.5,44.9,34,21,2.18,18.98,0,0,0,1.35,26.33,72.45
4.3,0.47,46.5,44,21,3.03,17.78,0,0,0,1.71,26.72,72.98
5.8,0.5,43.4,39,23,2.94,20.54,0,0,0,1.58,26.68,71.93
5,0.51,51.8,38,18,1.84,15.91,0,0,0,2.04,26.71,71.83
5.8,0.63,48.1,38,22,2.19,19.77,0,0,0,1.57,27.42,65.96
7.9,0.51,46.9,40,27,2.82,23.79,0,0,0,1.88,27.3,66.16
4.2,0.47,45,38,19,2.02,16.55,0,0,0,2.13,26.61,71.11
5.1,0.4,58.5,42,12,0.78,11.1,0,0,0,2.15,26.42,70.67
4.6,0.35,33.7,17,15,3.76,11.22,0,0,0,2.12,29.63,76.86
3.9,0.33,28,18,16,3.66,12.3,0,0,0,1.77,29.63,78.82
4.2,0.32,32.5,18,14,2.4,11.14,0,0,0,2.26,29.61,78.29
1.7,0.23,34.1,12,6,1.05,4.76,0,0,0,1.25,29.35,74.26
3.6,0.31,29.3,12,14,2.59,11.41,0,0,0,2.31,29.61,77.25
4.3,0.33,27.8,21,17,2.83,13.67,0,0,0,1.73,29.28,77.99
4.9,0.33,29.1,12,15,2.37,12.56,0,0,0,1.41,28.6,81.69
3.9,0.24,36.2,20,9,1.67,6.87,0,0,0,2.45,28.76,77.27
4.3,0.48,31.2,19,16,2.03,13.76,0,0,0,1.77,29.93,73.79
7.2,0.33,28.2,22,20,3.76,16.64,0,0,0,2.09,29.48,75.05
4.9,0.54,21.6,15,21,4.88,16.38,0,0,0,0.82,29.63,75.56
5.8,0.37,28.4,22,19,3.43,15.63,0,0,0,1.62,28.96,77.72
8.2,0.28,18.1,14,20,4.81,14.98,0,0,0,2.12,29.37,77.2
4.4,0.34,17.2,13,18,4.2,13.86,0,0,0,1.64,28.56,80.4
4,0.33,22.4,11,18,6.62,11.04,0,0,0,2.01,29.4,77.44
4.2,0.49,12.4,10,20,5.74,14.62,0,0,0,0.81,28.93,78.27
3.8,0.26,20,12,15,3.36,11.5,0,0,0,1.86,28.77,78.94
